,,precision,recall,f1-score,support
Random Forest,bruteforce,0.9892211887432323,0.9977296821555017,0.9934572179732313,199972.0
Random Forest,normal,0.9976293418551705,0.9887439256012296,0.9931667606702761,193229.0
Random Forest,scan_A,0.9997539067306509,1.0,0.999876938222988,8125.0
Random Forest,scan_SU,1.0,0.9997771339425006,0.9998885545525465,4487.0
Random Forest,sparta,1.0,1.0,1.0,197187.0
Random Forest,accuracy,0.9956384742951907,0.9956384742951907,0.9956384742951907,0.9956384742951907
Random Forest,macro avg,0.9973208874658107,0.9972501483398464,0.9972778942838083,603000.0
Random Forest,weighted avg,0.9956624546349601,0.9956384742951907,0.9956380544899482,603000.0
Logistic Regression,bruteforce,0.5023634991487893,0.8588252355329746,0.6339201015801771,199972.0
Logistic Regression,normal,0.6849144728860852,0.46748676440906906,0.555689182663472,193229.0
Logistic Regression,scan_A,0.9409778812572759,0.9948307692307692,0.9671552497756506,8125.0
Logistic Regression,scan_SU,1.0,0.9979942054825051,0.9989960959286113,4487.0
Logistic Regression,sparta,0.9997589905145553,0.5890347740976839,0.74130805929188,197187.0
Logistic Regression,accuracy,0.6480663349917081,0.6480663349917081,0.6480663349917081,0.6480663349917081
Logistic Regression,macro avg,0.8256029687613411,0.7816343497506003,0.7794137378479582,603000.0
Logistic Regression,weighted avg,0.7331275185421161,0.6480663349917081,0.6511749250489519,603000.0
Decision Trees,bruteforce,0.9972653189546332,0.9993449082871602,0.9983040306123723,199972.0
Decision Trees,normal,0.99932057818278,0.9971588115655518,0.9982385245052325,193229.0
Decision Trees,scan_A,1.0,1.0,1.0,8125.0
Decision Trees,scan_SU,0.999777183600713,1.0,0.9998885793871867,4487.0
Decision Trees,sparta,1.0,1.0,1.0,197187.0
Decision Trees,accuracy,0.9988723051409618,0.9988723051409618,0.9988723051409618,0.9988723051409618
Decision Trees,macro avg,0.9992726161476252,0.9993007439705422,0.9992862269009584,603000.0
Decision Trees,weighted avg,0.998873725682409,0.9988723051409618,0.9988722811226355,603000.0
Naive bayes,bruteforce,0.5067217938311688,0.19979797171604025,0.28659350118355925,199972.0
Naive bayes,normal,0.9986648137551432,0.1896713226275559,0.31879544901012496,193229.0
Naive bayes,scan_A,0.6795182738145019,1.0,0.809182352355343,8125.0
Naive bayes,scan_SU,1.0,0.9997771339425006,0.9998885545525465,4487.0
Naive bayes,sparta,0.4105135772064287,0.980571741544828,0.5787395034697851,197187.0
Naive bayes,accuracy,0.4686086235489221,0.4686086235489221,0.4686086235489221,0.4686086235489221
Naive bayes,macro avg,0.7190836917214486,0.673963633966185,0.5986398721142717,603000.0
Naive bayes,weighted avg,0.6389008301433599,0.4686086235489221,0.4047963755610565,603000.0
Support Vector Machines,bruteforce,0.5019391938785627,0.860760506470906,0.6341080644983035,199972.0
Support Vector Machines,normal,0.6901038072895104,0.46583587349724936,0.5562143340449789,193229.0
Support Vector Machines,scan_A,0.952973229092632,0.9901538461538462,0.9712078227802258,8125.0
Support Vector Machines,scan_SU,0.9928793947485536,0.9944283485625139,0.9936532680102438,4487.0
Support Vector Machines,sparta,0.9997686454620236,0.5917073640757251,0.743423672548751,197187.0
Support Vector Machines,accuracy,0.6489635157545606,0.6489635157545606,0.6489635157545606,0.6489635157545606
Support Vector Machines,macro avg,0.8275328540942566,0.7805771877520481,0.7797214323765006,603000.0
Support Vector Machines,weighted avg,0.7347615095860086,0.6489635157545606,0.6521122171136878,603000.0
K Nearest Neighbour,bruteforce,0.9370949331579252,0.9688856439901586,0.9527251627623374,199972.0
K Nearest Neighbour,normal,0.9666282281638017,0.9326912626986632,0.9493565532535807,193229.0
K Nearest Neighbour,scan_A,0.999876938222988,1.0,0.9999384653252108,8125.0
K Nearest Neighbour,scan_SU,1.0,0.9997771339425006,0.9998885545525465,4487.0
K Nearest Neighbour,sparta,1.0,1.0,1.0,197187.0
K Nearest Neighbour,accuracy,0.9681111111111111,0.9681111111111111,0.9681111111111111,0.9681111111111111
K Nearest Neighbour,macro avg,0.980720019908943,0.9802708081262643,0.980381747178735,603000.0
K Nearest Neighbour,weighted avg,0.9684433731283277,0.9681111111111111,0.9680921619429369,603000.0
