,,precision,recall,f1-score,support
Random Forest,bruteforce,0.9968332160450387,0.9811255411255412,0.988917008464962,5775.0
Random Forest,normal,0.998552994902294,0.9997607560110052,0.9991565104772026,75237.0
Random Forest,scan_A,1.0,1.0,1.0,7960.0
Random Forest,scan_SU,1.0,1.0,1.0,4487.0
Random Forest,sparta,1.0,1.0,1.0,5646.0
Random Forest,accuracy,0.9987185308511175,0.9987185308511175,0.9987185308511175,0.9987185308511175
Random Forest,macro avg,0.9990772421894665,0.9961772594273093,0.997614703788433,99105.0
Random Forest,weighted avg,0.9987169517191262,0.9987185308511175,0.9987138298033241,99105.0
Logistic Regression,bruteforce,1.0,0.975930735930736,0.9878187713609675,5775.0
Logistic Regression,normal,0.9925717009613093,0.9963315921687468,0.9944480926511851,75237.0
Logistic Regression,scan_A,0.9998665242925787,0.9410804020100503,0.9695832254724307,7960.0
Logistic Regression,scan_SU,0.9224370971095862,0.9886338310675284,0.9543889845094664,4487.0
Logistic Regression,sparta,1.0,1.0,1.0,5646.0
Logistic Regression,accuracy,0.9905655617779123,0.9905655617779123,0.9905655617779123,0.9905655617779123
Logistic Regression,macro avg,0.9829750644726948,0.9803953122354123,0.9812478147988098,99105.0
Logistic Regression,weighted avg,0.9908383013301617,0.9905655617779123,0.9905672811630224,99105.0
Decision Trees,bruteforce,0.989764052741152,0.9878787878787879,0.9888205217089869,5775.0
Decision Trees,normal,0.99908301992106,0.999215811369406,0.9991494112330879,75237.0
Decision Trees,scan_A,0.9998743876397438,1.0,0.9999371898750079,7960.0
Decision Trees,scan_SU,1.0,1.0,1.0,4487.0
Decision Trees,sparta,1.0,1.0,1.0,5646.0
Decision Trees,accuracy,0.9986983502345996,0.9986983502345996,0.9986983502345996,0.9986983502345996
Decision Trees,macro avg,0.9977442920603912,0.9974189198496388,0.9975814245634165,99105.0
Decision Trees,weighted avg,0.998697307905689,0.9986983502345996,0.9986977730408991,99105.0
Naive bayes,bruteforce,0.9998226321390564,0.9761038961038961,0.9878209059844039,5775.0
Naive bayes,normal,0.9979708013291932,0.9739755705304571,0.9858271953721455,75237.0
Naive bayes,scan_A,0.8366659650599874,0.9987437185929648,0.9105486198602679,7960.0
Naive bayes,scan_SU,0.9168029435813573,0.9995542678850011,0.9563919394391727,4487.0
Naive bayes,sparta,1.0,0.999822883457315,0.9999114338853955,5646.0
Naive bayes,accuracy,0.9787195398819434,0.9787195398819434,0.9787195398819434,0.9787195398819434
Naive bayes,macro avg,0.9502524684219189,0.9896400673139268,0.968100018908277,99105.0
Naive bayes,weighted avg,0.9815636019366795,0.9787195398819434,0.9793667729412469,99105.0
Support Vector Machines,bruteforce,0.9998226006741174,0.975930735930736,0.9877322117069751,5775.0
Support Vector Machines,normal,0.9919166611722819,0.999800630009171,0.9958430417284474,75237.0
Support Vector Machines,scan_A,0.9998661491098916,0.9384422110552764,0.9681809344825351,7960.0
Support Vector Machines,scan_SU,0.9811822005756032,0.9877423668375307,0.984451354953354,4487.0
Support Vector Machines,sparta,1.0,0.999822883457315,0.9999114338853955,5646.0
Support Vector Machines,accuracy,0.9929367842187579,0.9929367842187579,0.9929367842187579,0.9929367842187579
Support Vector Machines,macro avg,0.9945575223063787,0.9803477654580058,0.9872237953513414,99105.0
Support Vector Machines,weighted avg,0.9929903479785023,0.9929367842187579,0.9928646372736452,99105.0
K Nearest Neighbour,bruteforce,0.9991147308781869,0.9771428571428571,0.9880066532434562,5775.0
K Nearest Neighbour,normal,0.9982352550918862,0.9999335433363903,0.9990836775076027,75237.0
K Nearest Neighbour,scan_A,1.0,1.0,1.0,7960.0
K Nearest Neighbour,scan_SU,1.0,0.9997771339425006,0.9998885545525465,4487.0
K Nearest Neighbour,sparta,1.0,1.0,1.0,5646.0
K Nearest Neighbour,accuracy,0.9986075374602694,0.9986075374602694,0.9986075374602694,0.9986075374602694
K Nearest Neighbour,macro avg,0.9994699971940146,0.9953707068843496,0.997395777060721,99105.0
K Nearest Neighbour,weighted avg,0.9986086822881769,0.9986075374602694,0.9986004440885702,99105.0
